,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Requested_Date,Requested_Hour,Requested_Month,Requested_Day_Of_Week,Drop_Date,Drop_Hour,Drop_Month,Drop_Day_Of_Week,Demand_Not_Filled,Demand_Filled,Cancelled
0,619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,11,7,Monday,11.0,13.0,7.0,Monday,0,1,0
1,867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,11,17,7,Monday,11.0,18.0,7.0,Monday,0,1,0
2,1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,12,9,7,Tuesday,12.0,9.0,7.0,Tuesday,0,1,0
3,2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,12,21,7,Tuesday,12.0,22.0,7.0,Tuesday,0,1,0
4,3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,13,8,7,Wednesday,13.0,9.0,7.0,Wednesday,0,1,0
5,3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,13,21,7,Wednesday,13.0,22.0,7.0,Wednesday,0,1,0
6,4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,14,6,7,Thursday,14.0,7.0,7.0,Thursday,0,1,0
7,5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,15,5,7,Friday,15.0,6.0,7.0,Friday,0,1,0
8,6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,15,17,7,Friday,15.0,18.0,7.0,Friday,0,1,0
9,267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,11,6,7,Monday,11.0,7.0,7.0,Monday,0,1,0
10,1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,12,5,7,Tuesday,12.0,6.0,7.0,Tuesday,0,1,0
11,1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,12,7,Tuesday,12.0,12.0,7.0,Tuesday,0,1,0
12,2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,13,4,7,Wednesday,13.0,5.0,7.0,Wednesday,0,1,0
13,3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,13,8,7,Wednesday,13.0,9.0,7.0,Wednesday,0,1,0
14,3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,13,14,7,Wednesday,13.0,15.0,7.0,Wednesday,0,1,0
15,3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,13,17,7,Wednesday,13.0,18.0,7.0,Wednesday,0,1,0
16,4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,14,12,7,Thursday,14.0,12.0,7.0,Thursday,0,1,0
17,5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,14,22,7,Thursday,14.0,23.0,7.0,Thursday,0,1,0
18,535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,11,10,7,Monday,11.0,10.0,7.0,Monday,0,1,0
19,960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,11,18,7,Monday,11.0,19.0,7.0,Monday,0,1,0
20,1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,12,11,7,Tuesday,12.0,12.0,7.0,Tuesday,0,1,0
21,2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,12,15,7,Tuesday,12.0,16.0,7.0,Tuesday,0,1,0
22,2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,12,18,7,Tuesday,12.0,18.0,7.0,Tuesday,0,1,0
23,3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,13,8,7,Wednesday,13.0,9.0,7.0,Wednesday,0,1,0
24,3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,13,21,7,Wednesday,13.0,22.0,7.0,Wednesday,0,1,0
25,5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,14,21,7,Thursday,14.0,22.0,7.0,Thursday,0,1,0
26,5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,15,2,7,Friday,15.0,3.0,7.0,Friday,0,1,0
27,5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,15,10,7,Friday,15.0,10.0,7.0,Friday,0,1,0
28,669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,11,13,7,Monday,11.0,13.0,7.0,Monday,0,1,0
29,1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,12,6,7,Tuesday,12.0,7.0,7.0,Tuesday,0,1,0
30,1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,12,9,7,Tuesday,12.0,10.0,7.0,Tuesday,0,1,0
31,2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,12,16,7,Tuesday,12.0,17.0,7.0,Tuesday,0,1,0
32,2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,13,5,7,Wednesday,13.0,6.0,7.0,Wednesday,0,1,0
33,3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,13,19,7,Wednesday,13.0,20.0,7.0,Wednesday,0,1,0
34,4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,14,2,7,Thursday,14.0,3.0,7.0,Thursday,0,1,0
35,4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,14,13,7,Thursday,14.0,13.0,7.0,Thursday,0,1,0
36,5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,15,8,7,Friday,15.0,9.0,7.0,Friday,0,1,0
37,6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,15,7,Friday,15.0,15.0,7.0,Friday,0,1,0
38,312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,11,7,7,Monday,11.0,8.0,7.0,Monday,0,1,0
39,577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11,11,7,Monday,11.0,12.0,7.0,Monday,0,1,0
40,1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,11,20,7,Monday,11.0,21.0,7.0,Monday,0,1,0
